,Report Number,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,Date of Report,Time of Report,Occurrence Year,Age Group
0,1,,,Ahmedabad,576,IDENTITY THEFT,16,M,Blunt Object,Violent Crime,13,0,Ongoing,,,,Teen
1,2,,,Chennai,128,HOMICIDE,37,M,Poison,Other Crime,9,0,Ongoing,,,,Adult
2,3,,,Ludhiana,271,KIDNAPPING,48,F,Blunt Object,Other Crime,15,0,Ongoing,,,,Adult
3,4,,,Pune,170,BURGLARY,49,F,Firearm,Other Crime,1,1,29-04-2020 05:00,,,,Adult
4,5,,,Pune,421,VANDALISM,30,F,Other,Other Crime,18,1,08-01-2020 21:00,,,,Young Adult
5,6,,,Delhi,442,ASSAULT,16,M,Firearm,Violent Crime,18,1,30-03-2020 03:00,,,,Teen
6,7,,,Chennai,172,VEHICLE - STOLEN,64,F,Knife,Violent Crime,13,1,24-03-2020 16:00,,,,Senior
7,8,,,Chennai,169,COUNTERFEITING,78,Other,Knife,Other Crime,8,0,Ongoing,,,,Senior
8,9,,,Mumbai,338,EXTORTION,41,Other,Blunt Object,Other Crime,1,0,Ongoing,,,,Adult
9,10,,,Chennai,497,PUBLIC INTOXICATION,29,M,Knife,Other Crime,4,0,Ongoing,,,,Young Adult
10,11,,,Delhi,260,FRAUD,71,M,Explosives,Other Crime,5,1,01-02-2020 13:00,,,,Senior
11,12,,,Surat,563,IDENTITY THEFT,26,M,Poison,Violent Crime,3,0,Ongoing,,,,Young Adult
12,13,,,Visakhapatnam,498,FRAUD,36,F,Poison,Other Crime,3,1,29-02-2020 16:00,,,,Adult
13,14,,,Mumbai,436,ASSAULT,32,Other,None,Violent Crime,18,0,Ongoing,,,,Young Adult
14,15,,,Bangalore,266,SEXUAL ASSAULT,77,F,None,Violent Crime,19,0,Ongoing,,,,Senior
15,16,,,Kolkata,357,COUNTERFEITING,51,F,Explosives,Other Crime,16,1,30-03-2020 07:00,,,,Adult
16,17,,,Ghaziabad,509,DRUG OFFENSE,61,M,Poison,Other Crime,6,0,Ongoing,,,,Senior
17,18,,,Pune,342,ARSON,64,F,Other,Fire Accident,2,0,Ongoing,,,,Senior
18,19,,,Bangalore,480,CYBERCRIME,11,M,None,Other Crime,3,1,24-01-2020 20:00,,,,Child
19,20,,,Bangalore,369,EXTORTION,62,F,Blunt Object,Other Crime,2,1,05-03-2020 18:00,,,,Senior
20,21,,,Hyderabad,251,TRAFFIC VIOLATION,50,F,Poison,Traffic Fatality,14,1,22-01-2020 22:00,,,,Adult
21,22,,,Mumbai,374,VANDALISM,64,F,Other,Other Crime,15,1,03-03-2020 12:00,,,,Senior
22,23,,,Jaipur,507,SHOPLIFTING,69,F,Blunt Object,Other Crime,13,0,Ongoing,,,,Senior
23,24,,,Chennai,322,VANDALISM,77,F,Other,Other Crime,18,0,Ongoing,,,,Senior
